,Tanggal (UTC),Jenis,Bujur,Lintang
0,01:27.0,Negative Cloud to Ground,"134,693026","-4,103826119"
1,01:27.0,Negative Cloud to Ground,"134,9331009","-4,095857568"
2,02:23.0,Negative Cloud to Ground,"134,6286285","-4,053985138"
3,02:56.0,Positive Cloud to Ground,"134,8451301","-3,586730496"
4,03:13.0,Intra/Inter Cloud,"134,8562971","-3,635087581"
5,03:13.0,Negative Cloud to Ground,"134,867595","-3,740292274"
6,04:33.0,Intra/Inter Cloud,"134,5513567","-3,911238007"
7,04:33.0,Negative Cloud to Ground,"134,6152493","-3,930886511"
8,04:33.0,Intra/Inter Cloud,"134,8166602","-3,665216933"
9,04:33.0,Negative Cloud to Ground,"134,8065765","-3,794979385"
10,04:33.0,Negative Cloud to Ground,"134,7356156","-3,752914894"
11,04:54.0,Intra/Inter Cloud,"135,1226949","-3,943448513"
12,05:31.0,Intra/Inter Cloud,"134,6343471","-4,122113153"
13,05:32.0,Negative Cloud to Ground,"134,9449762","-4,007896612"
14,05:32.0,Negative Cloud to Ground,"135,0363811","-4,054413494"
15,05:50.0,Intra/Inter Cloud,"134,771322","-3,691267135"
16,05:50.0,Positive Cloud to Ground,"134,5448394","-3,792425855"
17,05:51.0,Negative Cloud to Ground,"134,6172578","-3,764224935"
18,05:51.0,Negative Cloud to Ground,"134,8235206","-3,680329186"
19,05:59.0,Intra/Inter Cloud,"134,4977917","-3,865415871"
20,06:48.0,Positive Cloud to Ground,"134,5382681","-3,489375271"
21,06:49.0,Positive Cloud to Ground,"134,950556","-4,198030354"
22,07:11.0,Intra/Inter Cloud,"134,7640427","-4,140073706"
23,07:11.0,Intra/Inter Cloud,"134,8374449","-3,870360857"
24,07:11.0,Negative Cloud to Ground,"134,7965842","-3,993471054"
25,07:15.0,Positive Cloud to Ground,"134,8608164","-3,592827237"
26,07:49.0,Positive Cloud to Ground,"134,7991718","-3,650574197"
27,07:57.0,Negative Cloud to Ground,"134,5403215","-2,422033753"
28,07:58.0,Negative Cloud to Ground,"134,6380587","-2,388214129"
29,09:03.0,Intra/Inter Cloud,"134,8103869","-4,2190769"
30,09:50.0,Intra/Inter Cloud,"134,6092688","-4,056704005"
31,09:50.0,Intra/Inter Cloud,"134,8806634","-4,062721447"
32,09:50.0,Negative Cloud to Ground,"134,9219537","-4,170229801"
33,09:50.0,Negative Cloud to Ground,"134,85225","-4,213133647"
34,09:50.0,Negative Cloud to Ground,"134,6930715","-4,233276406"
35,09:50.0,Negative Cloud to Ground,"134,7437762","-4,274694302"
36,09:50.0,Intra/Inter Cloud,"134,8606054","-4,149907466"
37,10:21.0,Intra/Inter Cloud,"134,745878","-4,055126404"
38,10:21.0,Intra/Inter Cloud,"134,6843258","-4,082915781"
39,11:32.0,Intra/Inter Cloud,"134,7128912","-4,017507413"
40,11:44.0,Negative Cloud to Ground,"134,647332","-4,153549881"
41,11:44.0,Negative Cloud to Ground,"134,6448789","-4,169760379"
42,11:44.0,Negative Cloud to Ground,"134,7718977","-4,22175826"
43,11:44.0,Negative Cloud to Ground,"134,7495636","-4,232629309"
44,12:14.0,Negative Cloud to Ground,"134,6227386","-3,855923393"
45,12:41.0,Intra/Inter Cloud,"134,6590639","-4,158291936"
46,12:41.0,Negative Cloud to Ground,"134,6394639","-4,075683103"
47,12:41.0,Negative Cloud to Ground,"134,7206393","-4,067550944"
48,12:41.0,Negative Cloud to Ground,"134,8933735","-4,13797525"
49,12:41.0,Intra/Inter Cloud,"134,8279675","-4,126833539"
50,12:42.0,Negative Cloud to Ground,"134,7863849","-4,132648794"
51,13:02.0,Negative Cloud to Ground,"134,8322191","-3,757530617"
52,13:59.0,Intra/Inter Cloud,"134,5577877","-3,677197873"
53,14:06.0,Intra/Inter Cloud,"134,7802581","-4,162299953"
54,14:06.0,Negative Cloud to Ground,"134,8582166","-4,123883447"
55,14:06.0,Intra/Inter Cloud,"134,8504513","-4,243048686"
56,14:06.0,Intra/Inter Cloud,"134,7338751","-3,998218356"
57,14:06.0,Negative Cloud to Ground,"134,9295729","-4,100646387"
58,14:21.0,Positive Cloud to Ground,"134,8024941","-4,132313023"
59,15:21.0,Intra/Inter Cloud,"134,8524118","-4,107599856"
60,15:22.0,Negative Cloud to Ground,"134,8505469","-4,132659428"
61,15:22.0,Negative Cloud to Ground,"134,947469","-4,172744987"
62,15:22.0,Negative Cloud to Ground,"134,7758313","-3,897045644"
63,15:22.0,Intra/Inter Cloud,"134,9042707","-4,137528553"
64,15:31.0,Intra/Inter Cloud,"134,7307234","-3,532586023"
65,16:23.0,Positive Cloud to Ground,"134,9210007","-4,013884246"
66,16:28.0,Positive Cloud to Ground,"134,9553191","-4,165572519"
67,16:35.0,Intra/Inter Cloud,"134,6730186","-4,151011555"
68,16:42.0,Positive Cloud to Ground,"134,8173487","-4,237067138"
69,16:53.0,Intra/Inter Cloud,"134,8971669","-4,209353298"
70,17:17.0,Negative Cloud to Ground,"134,7847227","-4,233142795"
71,17:17.0,Negative Cloud to Ground,"134,8138889","-4,204170971"
72,17:30.0,Positive Cloud to Ground,"134,9295654","-3,621663421"
73,17:31.0,Intra/Inter Cloud,"134,6632868","-3,577785224"
74,17:50.0,Intra/Inter Cloud,"134,808921","-4,232586798"
75,17:50.0,Negative Cloud to Ground,"134,7722158","-4,200849068"
76,18:29.0,Intra/Inter Cloud,"134,9783794","-4,146584883"
77,18:33.0,Intra/Inter Cloud,"134,7270045","-4,233623071"
78,18:36.0,Negative Cloud to Ground,"134,8436596","-4,24511064"
79,18:36.0,Negative Cloud to Ground,"134,9092718","-4,217733342"
80,18:36.0,Intra/Inter Cloud,"134,6364987","-4,146080242"
81,19:28.0,Intra/Inter Cloud,"134,8432718","-4,165237887"
82,19:57.0,Negative Cloud to Ground,"134,4907933","-3,76152974"
83,20:04.0,Intra/Inter Cloud,"134,7593475","-4,31232136"
84,20:13.0,Positive Cloud to Ground,"134,5296775","-3,639944276"
85,20:15.0,Intra/Inter Cloud,"134,811382","-4,271897285"
86,20:18.0,Intra/Inter Cloud,"134,7270724","-4,361045666"
87,20:22.0,Positive Cloud to Ground,"134,6218771","-3,651905571"
88,20:25.0,Intra/Inter Cloud,"134,7476542","-3,764553818"
89,20:28.0,Intra/Inter Cloud,"134,7852498","-4,208900106"
90,20:54.0,Intra/Inter Cloud,"134,7061132","-4,286655196"
91,21:24.0,Intra/Inter Cloud,"134,8396664","-4,105071052"
92,21:32.0,Positive Cloud to Ground,"134,8684307","-4,132972993"
93,22:07.0,Intra/Inter Cloud,"134,7379377","-4,226242917"
94,22:45.0,Intra/Inter Cloud,"134,6594086","-4,314762033"
95,23:04.0,Positive Cloud to Ground,"134,7475895","-3,874912799"
96,23:06.0,Negative Cloud to Ground,"134,6254893","-4,35755364"
97,24:03.0,Positive Cloud to Ground,"134,6211826","-4,21322443"
98,24:03.0,Negative Cloud to Ground,"134,810847","-4,216852789"
99,24:51.0,Negative Cloud to Ground,"134,7116233","-4,219305254"
100,25:06.0,Intra/Inter Cloud,"134,7281328","-4,332475058"
101,25:06.0,Positive Cloud to Ground,"134,9732042","-4,17463495"
102,25:11.0,Intra/Inter Cloud,"134,932647","-4,190805036"
103,25:19.0,Negative Cloud to Ground,"134,8678222","-4,319020673"
104,25:19.0,Intra/Inter Cloud,"134,777402","-4,214160568"
105,25:42.0,Positive Cloud to Ground,"134,6430722","-3,501329936"
106,26:25.0,Intra/Inter Cloud,"134,6161229","-4,185859916"
107,26:41.0,Positive Cloud to Ground,"134,7504283","-4,269712853"
108,27:02.0,Positive Cloud to Ground,"134,7517807","-4,193744234"
109,27:22.0,Negative Cloud to Ground,"134,7567981","-4,342230649"
110,27:30.0,Positive Cloud to Ground,"134,9033666","-3,860920502"
111,27:31.0,Intra/Inter Cloud,"134,831519","-3,825964016"
112,27:48.0,Positive Cloud to Ground,"134,6869755","-3,423769591"
113,28:38.0,Positive Cloud to Ground,"134,6631427","-4,34574747"
114,28:40.0,Intra/Inter Cloud,"134,5484813","-4,26074415"
115,28:40.0,Intra/Inter Cloud,"134,8158816","-3,858848062"
116,28:40.0,Negative Cloud to Ground,"134,6410692","-4,367077186"
117,29:34.0,Intra/Inter Cloud,"134,7740349","-3,661277594"
118,29:37.0,Intra/Inter Cloud,"134,8431053","-3,919453712"
119,30:17.0,Positive Cloud to Ground,"134,8028372","-4,324859529"
120,30:17.0,Intra/Inter Cloud,"134,664877","-4,368718985"
121,30:30.0,Positive Cloud to Ground,"134,8218752","-3,90991797"
122,31:46.0,Intra/Inter Cloud,"134,7284953","-3,556218034"
123,31:48.0,Positive Cloud to Ground,"134,6822395","-4,278191541"
124,32:03.0,Negative Cloud to Ground,"134,7224215","-4,325255778"
125,35:24.0,Intra/Inter Cloud,"134,5223375","-3,957552371"
126,37:05.0,Intra/Inter Cloud,"134,7898168","-3,86138679"
127,39:06.0,Positive Cloud to Ground,"134,6923239","-3,699227306"
128,41:53.0,Positive Cloud to Ground,"134,5274918","-3,893350179"
129,42:18.0,Negative Cloud to Ground,"134,5873238","-3,756674481"
130,45:46.0,Intra/Inter Cloud,"134,5677108","-3,64199941"
131,49:22.0,Positive Cloud to Ground,"134,6195049","-3,665800863"
132,50:15.0,Intra/Inter Cloud,"134,618313","-3,787782335"
133,52:53.0,Positive Cloud to Ground,"134,7012104","-3,588809002"
134,54:47.0,Negative Cloud to Ground,"134,7398293","-3,783373354"
135,57:03.0,Intra/Inter Cloud,"135,1415459","-2,442540508"
136,58:44.0,Intra/Inter Cloud,"135,1861346","-2,387847811"
137,58:45.0,Negative Cloud to Ground,"135,1114678","-2,393854786"
138,00:47.0,Intra/Inter Cloud,"135,3444977","-2,567057984"
139,00:47.0,Intra/Inter Cloud,"135,175411","-2,570634121"
140,00:48.0,Intra/Inter Cloud,"135,1304559","-2,517642696"
141,00:48.0,Intra/Inter Cloud,"135,2257576","-2,667507434"
142,00:48.0,Negative Cloud to Ground,"135,1770779","-2,438137769"
143,02:39.0,Intra/Inter Cloud,"135,1833218","-2,470764823"
144,02:39.0,Intra/Inter Cloud,"135,2098577","-2,619077029"
145,02:40.0,Intra/Inter Cloud,"135,2718285","-2,623176351"
146,03:21.0,Intra/Inter Cloud,"135,1311134","-2,463846597"
147,03:21.0,Negative Cloud to Ground,"135,0823928","-2,525381282"
148,03:21.0,Intra/Inter Cloud,"135,1738034","-2,523414921"
149,03:21.0,Intra/Inter Cloud,"135,1055046","-2,540992143"
150,03:21.0,Negative Cloud to Ground,"135,3060489","-2,628309378"
151,05:26.0,Intra/Inter Cloud,"135,1492775","-2,794418228"
152,06:21.0,Intra/Inter Cloud,"135,200346","-2,67987817"
153,06:40.0,Intra/Inter Cloud,"135,3399515","-2,585809401"
154,06:40.0,Negative Cloud to Ground,"135,3355482","-2,587526407"
155,07:32.0,Intra/Inter Cloud,"135,2515555","-2,420980481"
156,07:34.0,Negative Cloud to Ground,"135,2095777","-2,664181048"
157,08:32.0,Intra/Inter Cloud,"135,2349529","-2,428807621"
158,08:32.0,Intra/Inter Cloud,"135,2695848","-2,581253916"
159,09:01.0,Intra/Inter Cloud,"135,2215912","-2,691978892"
160,09:01.0,Negative Cloud to Ground,"135,0544988","-2,40056176"
161,09:02.0,Intra/Inter Cloud,"135,271365","-2,637730853"
162,09:03.0,Negative Cloud to Ground,"135,2215068","-2,508614813"
163,10:00.0,Intra/Inter Cloud,"135,316377","-2,6105655"
164,10:00.0,Intra/Inter Cloud,"135,1724162","-2,584995417"
165,10:32.0,Positive Cloud to Ground,"135,1596604","-2,846674971"
166,10:41.0,Intra/Inter Cloud,"135,2555296","-2,850207971"
167,11:38.0,Negative Cloud to Ground,"135,2943196","-2,562973998"
168,11:38.0,Intra/Inter Cloud,"135,3123575","-2,637459747"
169,11:38.0,Intra/Inter Cloud,"135,3669332","-2,860035024"
170,11:46.0,Negative Cloud to Ground,"135,1628274","-2,68402221"
171,11:46.0,Intra/Inter Cloud,"135,3183162","-2,827578055"
172,11:46.0,Intra/Inter Cloud,"135,2413988","-2,68920867"
173,11:47.0,Intra/Inter Cloud,"135,2761482","-2,76979765"
174,12:26.0,Negative Cloud to Ground,"135,2923617","-2,609992774"
175,12:26.0,Negative Cloud to Ground,"135,2784703","-2,857323559"
176,12:26.0,Negative Cloud to Ground,"135,2262604","-2,567641819"
177,12:26.0,Intra/Inter Cloud,"135,2952603","-2,702460378"
178,12:56.0,Negative Cloud to Ground,"135,300503","-2,692572945"
179,13:52.0,Intra/Inter Cloud,"135,3172019","-2,977297681"
180,13:52.0,Positive Cloud to Ground,"135,3950345","-3,089288717"
181,13:52.0,Positive Cloud to Ground,"135,3067602","-2,980464914"
182,15:54.0,Intra/Inter Cloud,"135,2942072","-2,855093828"
183,15:54.0,Positive Cloud to Ground,"135,2693236","-2,844527772"
184,15:54.0,Positive Cloud to Ground,"135,2711393","-2,880538881"
185,15:54.0,Negative Cloud to Ground,"135,3654301","-3,02540433"
186,16:49.0,Intra/Inter Cloud,"135,281349","-2,785304968"
187,17:00.0,Negative Cloud to Ground,"135,4454133","-3,036530262"
188,17:03.0,Negative Cloud to Ground,"135,3959741","-2,947805661"
189,17:03.0,Negative Cloud to Ground,"135,3824523","-3,045893625"
190,17:51.0,Negative Cloud to Ground,"135,413599","-3,041422642"
191,17:51.0,Negative Cloud to Ground,"135,4699324","-3,030317927"
192,18:32.0,Negative Cloud to Ground,"135,2755334","-2,652675448"
193,18:32.0,Intra/Inter Cloud,"135,2777637","-2,655638538"
194,18:32.0,Intra/Inter Cloud,"135,2696765","-2,648329566"
195,18:32.0,Intra/Inter Cloud,"135,3701707","-3,018430019"
196,18:32.0,Intra/Inter Cloud,"135,3332433","-2,846950189"
197,18:32.0,Intra/Inter Cloud,"135,3559328","-2,912936654"
198,18:32.0,Intra/Inter Cloud,"135,3833936","-2,984236766"
199,18:32.0,Negative Cloud to Ground,"135,2933692","-2,628326618"
200,18:32.0,Intra/Inter Cloud,"135,2721061","-2,725409485"
201,18:32.0,Intra/Inter Cloud,"135,2784111","-2,778395591"
202,19:22.0,Intra/Inter Cloud,"135,2978491","-2,788632242"
203,20:17.0,Intra/Inter Cloud,"135,3409198","-2,987636453"
204,20:52.0,Intra/Inter Cloud,"135,2730807","-2,783732586"
205,20:52.0,Intra/Inter Cloud,"135,3841484","-3,091221347"
206,20:52.0,Intra/Inter Cloud,"135,3139609","-2,865788011"
207,21:03.0,Intra/Inter Cloud,"135,3796485","-2,900815065"
208,21:04.0,Positive Cloud to Ground,"135,4276657","-3,055705788"
209,21:04.0,Negative Cloud to Ground,"135,1782169","-2,58418336"
210,21:04.0,Intra/Inter Cloud,"135,3127946","-2,85691719"
211,22:15.0,Intra/Inter Cloud,"135,2940446","-2,914280012"
212,22:15.0,Positive Cloud to Ground,"135,3447276","-3,048162645"
213,22:16.0,Intra/Inter Cloud,"135,3592634","-3,029518875"
214,22:48.0,Intra/Inter Cloud,"135,2408899","-2,691476067"
215,22:48.0,Negative Cloud to Ground,"135,306393","-2,9365927"
216,22:57.0,Intra/Inter Cloud,"135,4018324","-3,055777783"
217,23:31.0,Intra/Inter Cloud,"135,433095","-2,938755067"
218,23:31.0,Negative Cloud to Ground,"135,4141679","-2,937577744"
219,24:08.0,Intra/Inter Cloud,"135,3915159","-3,023828915"
220,24:08.0,Negative Cloud to Ground,"135,3100622","-2,798231476"
221,24:08.0,Intra/Inter Cloud,"135,3271778","-2,779596406"
222,24:08.0,Intra/Inter Cloud,"135,1879493","-2,633215866"
223,24:08.0,Intra/Inter Cloud,"135,1967734","-2,53840205"
224,24:08.0,Negative Cloud to Ground,"135,3339846","-2,841284761"
225,24:55.0,Intra/Inter Cloud,"135,222154","-2,439994606"
226,24:55.0,Negative Cloud to Ground,"135,4126782","-3,098886539"
227,25:50.0,Intra/Inter Cloud,"135,3016635","-2,710689153"
228,25:50.0,Intra/Inter Cloud,"135,2277837","-2,810981553"
229,26:36.0,Intra/Inter Cloud,"135,2735673","-2,549718597"
230,26:43.0,Intra/Inter Cloud,"135,3697927","-3,060182769"
231,26:43.0,Positive Cloud to Ground,"135,3611366","-3,000183643"
232,27:12.0,Intra/Inter Cloud,"135,2135126","-3,00669608"
233,27:12.0,Negative Cloud to Ground,"135,0634554","-2,849551426"
234,27:12.0,Intra/Inter Cloud,"135,1175371","-2,905630843"
235,27:12.0,Intra/Inter Cloud,"135,0965357","-2,920883893"
236,27:12.0,Intra/Inter Cloud,"135,1298013","-2,904946689"
237,27:45.0,Intra/Inter Cloud,"135,4434312","-3,132510415"
238,28:36.0,Positive Cloud to Ground,"135,3970874","-2,991360026"
239,28:36.0,Intra/Inter Cloud,"135,3780963","-3,079950705"
240,28:42.0,Intra/Inter Cloud,"135,163943","-2,905585873"
241,28:42.0,Negative Cloud to Ground,"135,1484795","-2,925252228"
242,28:43.0,Intra/Inter Cloud,"135,1438708","-2,896987503"
243,28:46.0,Positive Cloud to Ground,"135,4122978","-3,141722022"
244,29:24.0,Intra/Inter Cloud,"135,368851","-3,138691076"
245,29:24.0,Negative Cloud to Ground,"135,2345257","-2,929417175"
246,29:24.0,Negative Cloud to Ground,"135,2072342","-2,8127781"
247,29:24.0,Intra/Inter Cloud,"135,3812621","-3,166891026"
248,29:40.0,Intra/Inter Cloud,"135,4219193","-3,097588466"
249,31:17.0,Positive Cloud to Ground,"135,3664191","-2,972346669"
250,31:17.0,Intra/Inter Cloud,"135,354643","-2,992069282"
251,33:10.0,Intra/Inter Cloud,"135,333505","-3,118394609"
252,33:10.0,Negative Cloud to Ground,"135,1760605","-2,851403397"
253,34:04.0,Negative Cloud to Ground,"135,3334643","-2,952713177"
254,34:29.0,Positive Cloud to Ground,"135,363449","-3,025788128"
255,34:29.0,Intra/Inter Cloud,"135,4012254","-3,127413265"
256,35:30.0,Intra/Inter Cloud,"135,4518172","-3,09351811"
257,36:12.0,Intra/Inter Cloud,"135,3650153","-3,050290766"
258,36:12.0,Negative Cloud to Ground,"135,3344905","-2,874379687"
259,36:12.0,Negative Cloud to Ground,"135,3108515","-2,828847248"
260,36:12.0,Negative Cloud to Ground,"135,31645","-2,849213463"
261,36:12.0,Negative Cloud to Ground,"135,3044656","-2,801801224"
262,36:12.0,Negative Cloud to Ground,"135,2857022","-2,828622307"
263,37:47.0,Intra/Inter Cloud,"135,4263144","-3,128008642"
264,38:00.0,Intra/Inter Cloud,"135,2942931","-2,768332926"
265,38:00.0,Intra/Inter Cloud,"135,2486537","-2,764367118"
266,38:01.0,Intra/Inter Cloud,"135,3124851","-2,773250621"
267,38:01.0,Intra/Inter Cloud,"135,3421501","-3,103023826"
268,38:01.0,Intra/Inter Cloud,"135,3406547","-2,942694234"
269,38:42.0,Intra/Inter Cloud,"135,3466445","-3,168858964"
270,38:53.0,Negative Cloud to Ground,"135,2583301","-2,775452301"
271,38:53.0,Intra/Inter Cloud,"135,2361108","-2,844882716"
272,39:00.0,Intra/Inter Cloud,"135,3339538","-2,888012331"
273,39:00.0,Negative Cloud to Ground,"135,3283614","-2,899809566"
274,39:35.0,Intra/Inter Cloud,"135,40231","-3,031839301"
275,40:11.0,Negative Cloud to Ground,"135,3518909","-2,892430639"
276,40:11.0,Negative Cloud to Ground,"135,3517692","-2,949297551"
277,40:11.0,Negative Cloud to Ground,"135,3908446","-2,984200613"
278,40:11.0,Intra/Inter Cloud,"135,3767265","-3,151319018"
279,40:11.0,Intra/Inter Cloud,"135,4245862","-3,109665766"
280,42:23.0,Intra/Inter Cloud,"135,3935263","-3,130154627"
281,42:49.0,Intra/Inter Cloud,"135,400915","-3,127866108"
282,42:49.0,Negative Cloud to Ground,"135,3557314","-2,964643021"
283,42:49.0,Intra/Inter Cloud,"135,2851657","-2,900419817"
284,42:49.0,Intra/Inter Cloud,"135,3704566","-2,951109892"
285,42:50.0,Intra/Inter Cloud,"135,3992665","-3,136511005"
286,42:50.0,Intra/Inter Cloud,"135,3805412","-3,046837965"
287,43:57.0,Negative Cloud to Ground,"135,2966771","-3,109124559"
288,43:57.0,Intra/Inter Cloud,"135,0647558","-3,069888144"
289,45:56.0,Intra/Inter Cloud,"135,3252621","-2,918122385"
290,45:56.0,Negative Cloud to Ground,"135,3885916","-3,160754464"
291,46:14.0,Positive Cloud to Ground,"135,2390201","-3,094897662"
292,46:14.0,Intra/Inter Cloud,"135,3876356","-3,218816167"
293,47:51.0,Negative Cloud to Ground,"135,3315781","-3,164213894"
294,47:51.0,Negative Cloud to Ground,"135,3650992","-3,203206707"
295,47:51.0,Intra/Inter Cloud,"135,3576788","-3,186011833"
296,48:20.0,Negative Cloud to Ground,"135,4476275","-3,200600705"
297,48:20.0,Negative Cloud to Ground,"135,4316389","-3,111211602"
298,48:23.0,Intra/Inter Cloud,"135,3608036","-3,206340354"
299,49:19.0,Intra/Inter Cloud,"135,3134061","-3,137046044"
300,49:19.0,Negative Cloud to Ground,"135,3491326","-3,198208635"
301,49:53.0,Positive Cloud to Ground,"135,4423364","-3,164583599"
302,49:53.0,Negative Cloud to Ground,"135,4031603","-3,201211209"
303,50:06.0,Negative Cloud to Ground,"135,2373135","-3,038318019"
304,50:06.0,Negative Cloud to Ground,"135,1773544","-2,977707888"
305,50:59.0,Intra/Inter Cloud,"135,3805838","-3,06125979"
306,51:22.0,Intra/Inter Cloud,"135,2389729","-3,048728343"
307,51:22.0,Negative Cloud to Ground,"135,1950281","-2,984430345"
308,51:23.0,Intra/Inter Cloud,"135,2718847","-3,084685977"
309,51:23.0,Negative Cloud to Ground,"135,1972905","-2,983591384"
310,51:23.0,Intra/Inter Cloud,"135,2827529","-3,084788049"
311,51:23.0,Negative Cloud to Ground,"135,2170926","-3,048514977"
312,51:30.0,Intra/Inter Cloud,"135,4248455","-3,169556958"
313,51:30.0,Intra/Inter Cloud,"135,3574268","-2,965830003"
314,51:30.0,Intra/Inter Cloud,"135,3591213","-2,955056988"
315,51:30.0,Intra/Inter Cloud,"135,3579294","-3,06716695"
316,51:30.0,Positive Cloud to Ground,"135,4216172","-3,201964818"
317,51:31.0,Positive Cloud to Ground,"135,4351182","-3,244481845"
318,51:31.0,Negative Cloud to Ground,"135,4616034","-3,172002846"
319,52:42.0,Positive Cloud to Ground,"135,3654103","-3,146812898"
320,52:42.0,Negative Cloud to Ground,"135,4262003","-3,26824059"
321,52:42.0,Negative Cloud to Ground,"135,4151594","-3,12468129"
322,52:42.0,Negative Cloud to Ground,"135,4100663","-3,19017317"
323,52:42.0,Negative Cloud to Ground,"135,3808692","-3,034983086"
324,52:42.0,Negative Cloud to Ground,"135,4285777","-3,230297259"
325,53:30.0,Intra/Inter Cloud,"135,3489223","-3,171596632"
326,53:30.0,Negative Cloud to Ground,"135,2251291","-3,030756921"
327,53:30.0,Intra/Inter Cloud,"135,2208615","-3,046727612"
328,53:30.0,Negative Cloud to Ground,"135,2338318","-3,068292699"
329,53:30.0,Negative Cloud to Ground,"135,3213725","-3,187782072"
330,53:30.0,Intra/Inter Cloud,"135,3956137","-3,230049333"
331,55:12.0,Positive Cloud to Ground,"135,2394467","-3,111195187"
332,55:13.0,Intra/Inter Cloud,"135,4252301","-3,177848534"
333,55:55.0,Negative Cloud to Ground,"135,5280399","-4,369586766"
334,56:26.0,Intra/Inter Cloud,"135,4334677","-3,237500388"
335,56:26.0,Positive Cloud to Ground,"135,4250132","-3,223987118"
336,56:54.0,Negative Cloud to Ground,"135,3426885","-3,198054738"
337,57:07.0,Intra/Inter Cloud,"135,4730849","-4,319873933"
338,57:27.0,Intra/Inter Cloud,"135,3092829","-3,121527798"
339,57:27.0,Intra/Inter Cloud,"135,2341357","-3,049258339"
340,57:27.0,Intra/Inter Cloud,"135,3626554","-3,212808932"
341,58:54.0,Intra/Inter Cloud,"135,4270849","-4,361602159"
342,59:32.0,Intra/Inter Cloud,"135,4022199","-3,172689395"
343,59:32.0,Intra/Inter Cloud,"135,3989599","-3,180259453"
344,59:52.0,Intra/Inter Cloud,"135,4602434","-4,317731294"
345,00:00.0,Intra/Inter Cloud,"135,4787464","-4,347646263"
346,01:17.0,Positive Cloud to Ground,"135,5363903","-4,315927838"
347,02:33.0,Intra/Inter Cloud,"135,3977673","-3,217949128"
348,02:38.0,Intra/Inter Cloud,"135,2306736","-3,063360572"
349,02:49.0,Negative Cloud to Ground,"135,5813547","-4,363924141"
350,05:07.0,Positive Cloud to Ground,"135,5260162","-4,306720402"
351,05:07.0,Negative Cloud to Ground,"135,5720527","-4,367068726"
352,05:17.0,Intra/Inter Cloud,"135,3612321","-3,013220833"
353,05:26.0,Negative Cloud to Ground,"135,2031391","-3,079380977"
354,06:12.0,Positive Cloud to Ground,"135,3492356","-3,210575882"
355,06:12.0,Intra/Inter Cloud,"135,3776076","-3,189367637"
356,06:37.0,Negative Cloud to Ground,"135,5014344","-4,329978399"
357,06:42.0,Intra/Inter Cloud,"135,4471499","-3,272800492"
358,07:47.0,Positive Cloud to Ground,"135,4401455","-4,300426428"
359,07:48.0,Negative Cloud to Ground,"135,4647978","-4,324236302"
360,07:57.0,Intra/Inter Cloud,"135,4319045","-4,323660944"
361,08:24.0,Positive Cloud to Ground,"135,2934742","-3,150703579"
362,08:24.0,Positive Cloud to Ground,"135,3649114","-3,222419364"
363,08:24.0,Intra/Inter Cloud,"135,361675","-3,222343596"
364,08:53.0,Intra/Inter Cloud,"135,546768","-4,353101206"
365,09:12.0,Intra/Inter Cloud,"135,5071416","-4,362358226"
366,09:27.0,Positive Cloud to Ground,"135,5026311","-4,316937943"
367,09:27.0,Positive Cloud to Ground,"135,4872189","-4,367149637"
368,09:35.0,Intra/Inter Cloud,"135,3498538","-3,231407663"
369,09:35.0,Negative Cloud to Ground,"135,3482343","-3,204781098"
370,09:39.0,Intra/Inter Cloud,"135,1798169","-3,026742441"
371,09:39.0,Intra/Inter Cloud,"135,2490976","-3,065986285"
372,09:39.0,Negative Cloud to Ground,"135,2170727","-3,042443663"
373,09:39.0,Negative Cloud to Ground,"135,2302237","-3,050747213"
374,09:40.0,Negative Cloud to Ground,"135,2841549","-3,108514783"
375,10:37.0,Positive Cloud to Ground,"135,4938206","-4,356894119"
376,11:56.0,Intra/Inter Cloud,"135,5169875","-4,310305044"
377,13:00.0,Positive Cloud to Ground,"135,2691173","-3,134979245"
378,13:22.0,Intra/Inter Cloud,"135,4305064","-3,253879632"
379,13:23.0,Negative Cloud to Ground,"135,3718114","-3,194572263"
380,13:23.0,Intra/Inter Cloud,"135,3753835","-3,090078327"
381,13:25.0,Positive Cloud to Ground,"135,3064746","-3,122268714"
382,13:25.0,Positive Cloud to Ground,"135,3479491","-3,15912886"
383,14:23.0,Intra/Inter Cloud,"135,4448374","-4,364740856"
384,14:27.0,Negative Cloud to Ground,"135,1880576","-3,02746062"
385,14:27.0,Intra/Inter Cloud,"135,3123077","-3,168325156"
386,14:28.0,Intra/Inter Cloud,"135,3713721","-3,221512813"
387,14:28.0,Positive Cloud to Ground,"135,2828604","-3,100965239"
388,14:28.0,Negative Cloud to Ground,"135,3633982","-3,202500511"
389,15:04.0,Intra/Inter Cloud,"135,3763096","-3,218079552"
390,15:44.0,Intra/Inter Cloud,"135,3522317","-3,203061342"
391,15:44.0,Positive Cloud to Ground,"135,3589542","-3,204334447"
392,15:45.0,Positive Cloud to Ground,"135,3372634","-3,188784284"
393,16:34.0,Intra/Inter Cloud,"135,3428193","-3,194231611"
394,16:34.0,Intra/Inter Cloud,"135,3520681","-3,217861599"
395,17:34.0,Intra/Inter Cloud,"135,2573219","-3,117353591"
396,17:43.0,Intra/Inter Cloud,"135,2904661","-3,124434981"
397,17:43.0,Intra/Inter Cloud,"135,3300687","-3,101472501"
398,17:44.0,Intra/Inter Cloud,"135,2921772","-3,158486527"
399,17:44.0,Negative Cloud to Ground,"135,3760373","-3,215522439"
