,Tanggal (UTC),Jenis,Bujur,Lintang
1576,32:06.0,Positive Cloud to Ground,"136,3890078","-3,175379195"
1577,32:06.0,Intra/Inter Cloud,"136,2393726","-3,093843863"
1578,32:06.0,Intra/Inter Cloud,"136,30137","-3,152038583"
1579,32:11.0,Intra/Inter Cloud,"136,101126","-3,310081065"
1580,32:11.0,Positive Cloud to Ground,"136,2906912","-3,257051402"
1581,32:11.0,Intra/Inter Cloud,"136,140059","-3,147142016"
1582,32:13.0,Intra/Inter Cloud,"136,455035","-3,003947175"
1583,32:20.0,Negative Cloud to Ground,"136,2023415","-3,204386224"
1584,32:20.0,Intra/Inter Cloud,"136,1103359","-3,214287322"
1585,32:20.0,Negative Cloud to Ground,"136,296671","-3,184924893"
1586,32:23.0,Intra/Inter Cloud,"136,3845796","-3,175077682"
1587,32:27.0,Intra/Inter Cloud,"136,3484658","-3,178947506"
1588,32:27.0,Negative Cloud to Ground,"136,2300382","-3,285288521"
1589,32:27.0,Negative Cloud to Ground,"136,4786318","-3,37208844"
1590,32:27.0,Intra/Inter Cloud,"136,1782529","-3,181257909"
1591,32:28.0,Negative Cloud to Ground,"136,3684176","-3,253990478"
1592,32:28.0,Intra/Inter Cloud,"136,4615129","-3,22898114"
1593,32:34.0,Intra/Inter Cloud,"136,1028069","-3,277788059"
1594,32:37.0,Intra/Inter Cloud,"136,2799228","-3,137164181"
1595,32:40.0,Positive Cloud to Ground,"136,3220769","-3,134009808"
1596,32:40.0,Intra/Inter Cloud,"136,3446005","-3,162559242"
1597,32:45.0,Intra/Inter Cloud,"136,3498999","-3,268709462"
1598,32:45.0,Negative Cloud to Ground,"136,3268189","-3,200228368"
1599,32:45.0,Negative Cloud to Ground,"136,4675747","-3,343222228"
1600,32:45.0,Intra/Inter Cloud,"136,254573","-3,160373"
1601,32:45.0,Intra/Inter Cloud,"136,4736074","-3,177644741"
1602,32:45.0,Negative Cloud to Ground,"136,3589576","-3,305833037"
1603,32:45.0,Negative Cloud to Ground,"136,1167197","-3,321604544"
1604,32:45.0,Intra/Inter Cloud,"136,3762173","-3,301848265"
1605,32:46.0,Negative Cloud to Ground,"136,4012673","-3,296112193"
1606,32:46.0,Negative Cloud to Ground,"136,1471771","-3,363753057"
1607,32:53.0,Intra/Inter Cloud,"136,1252578","-3,224700951"
1608,32:53.0,Negative Cloud to Ground,"136,1249944","-3,195579779"
1609,32:54.0,Intra/Inter Cloud,"136,0624835","-3,181142807"
1610,32:57.0,Intra/Inter Cloud,"136,3536642","-3,227434716"
1611,33:03.0,Intra/Inter Cloud,"136,3069384","-2,993236274"
1612,33:03.0,Intra/Inter Cloud,"136,2168538","-3,112266253"
1613,33:03.0,Intra/Inter Cloud,"136,1174495","-3,258743882"
1614,33:03.0,Positive Cloud to Ground,"136,1785892","-3,335946225"
1615,33:03.0,Intra/Inter Cloud,"136,1899109","-3,212418693"
