Tanggal (UTC),Jenis,Bujur,Lintang
40:54.0,Negative Cloud to Ground,"136,0740539","-3,394474297"
40:54.0,Intra/Inter Cloud,"135,9630335","-3,237667479"
40:55.0,Intra/Inter Cloud,"136,0415022","-3,092056344"
40:55.0,Intra/Inter Cloud,"135,9450435","-3,284197851"
41:08.0,Intra/Inter Cloud,"136,2841938","-3,164005411"
41:09.0,Positive Cloud to Ground,"136,058582","-3,323160316"
41:09.0,Negative Cloud to Ground,"136,1030955","-3,265143278"
41:15.0,Intra/Inter Cloud,"136,0097116","-3,360164825"
41:16.0,Intra/Inter Cloud,"136,092695","-3,206857796"
41:16.0,Positive Cloud to Ground,"136,0149236","-3,303590362"
41:16.0,Positive Cloud to Ground,"136,1962162","-3,248000022"
41:23.0,Intra/Inter Cloud,"135,9863601","-3,050964389"
41:35.0,Positive Cloud to Ground,"136,0153935","-3,178944584"
41:35.0,Intra/Inter Cloud,"136,2068552","-3,083339009"
41:35.0,Intra/Inter Cloud,"136,1301604","-3,29528894"
41:36.0,Intra/Inter Cloud,"136,0679185","-3,240088307"
41:44.0,Intra/Inter Cloud,"136,3675233","-3,165862208"
41:45.0,Intra/Inter Cloud,"136,1435467","-3,122257794"
41:45.0,Intra/Inter Cloud,"136,2894929","-3,222078661"
41:48.0,Intra/Inter Cloud,"136,1303895","-3,24014078"
41:48.0,Positive Cloud to Ground,"136,0736438","-3,167889098"
41:49.0,Positive Cloud to Ground,"136,1182511","-3,167927248"
41:54.0,Intra/Inter Cloud,"136,0059689","-3,228348673"
42:00.0,Positive Cloud to Ground,"136,418041","-3,066604668"
42:01.0,Intra/Inter Cloud,"136,1431071","-3,199805878"
42:01.0,Intra/Inter Cloud,"135,956229","-3,295574185"
42:01.0,Intra/Inter Cloud,"136,1510798","-3,2736125"
42:05.0,Negative Cloud to Ground,"136,2201574","-3,223877957"
42:05.0,Intra/Inter Cloud,"136,0888214","-3,193568035"
42:08.0,Intra/Inter Cloud,"136,0321416","-3,396472131"
42:14.0,Positive Cloud to Ground,"136,0775016","-3,186882128"
42:29.0,Intra/Inter Cloud,"136,1199997","-3,113585488"
42:30.0,Intra/Inter Cloud,"136,0431607","-3,036241745"
42:30.0,Positive Cloud to Ground,"136,2415197","-3,243164773"
42:30.0,Intra/Inter Cloud,"136,1492382","-3,071945331"
42:30.0,Positive Cloud to Ground,"136,1097719","-3,161293935"
42:37.0,Positive Cloud to Ground,"136,3410169","-3,267648942"
42:40.0,Intra/Inter Cloud,"135,9418492","-3,269342026"
42:40.0,Intra/Inter Cloud,"136,0772869","-3,251965219"
42:40.0,Intra/Inter Cloud,"136,110412","-3,403314282"
43:07.0,Positive Cloud to Ground,"136,1827402","-3,174943271"
43:07.0,Intra/Inter Cloud,"136,2017681","-3,074925076"
43:07.0,Intra/Inter Cloud,"136,0563734","-3,055638617"
43:08.0,Intra/Inter Cloud,"136,1246884","-3,227495923"
43:23.0,Positive Cloud to Ground,"136,2743846","-3,025758506"
43:23.0,Intra/Inter Cloud,"136,271386","-3,270914018"
43:42.0,Intra/Inter Cloud,"136,2466605","-3,069600498"
43:43.0,Intra/Inter Cloud,"136,0554683","-3,190517889"
43:43.0,Intra/Inter Cloud,"136,1446443","-3,253862698"
43:43.0,Intra/Inter Cloud,"136,1464985","-3,249586803"
43:43.0,Intra/Inter Cloud,"136,1171798","-3,214312614"
43:43.0,Intra/Inter Cloud,"136,0706725","-3,269597104"
43:58.0,Intra/Inter Cloud,"136,3458136","-3,067899467"
43:58.0,Intra/Inter Cloud,"136,0757243","-3,156175105"
43:58.0,Positive Cloud to Ground,"136,0175601","-3,089923724"
43:59.0,Intra/Inter Cloud,"136,1975737","-3,220290981"
43:59.0,Intra/Inter Cloud,"136,1962267","-3,157098313"
43:59.0,Intra/Inter Cloud,"136,1449275","-3,154272186"
44:19.0,Intra/Inter Cloud,"136,2337658","-3,306529795"
44:19.0,Intra/Inter Cloud,"136,0998118","-3,284313012"
44:19.0,Intra/Inter Cloud,"136,0318003","-3,420649377"
44:19.0,Intra/Inter Cloud,"136,0510104","-3,429271508"
44:19.0,Intra/Inter Cloud,"136,2598795","-3,2789002"
44:19.0,Intra/Inter Cloud,"136,2405984","-3,393711016"
44:27.0,Intra/Inter Cloud,"136,2193413","-3,006751634"
44:27.0,Positive Cloud to Ground,"136,2142859","-3,079116626"
44:27.0,Intra/Inter Cloud,"136,055206","-3,059935358"
44:27.0,Intra/Inter Cloud,"136,0610122","-3,112133584"
44:27.0,Intra/Inter Cloud,"136,1656084","-3,009444704"
44:27.0,Intra/Inter Cloud,"136,1894939","-3,127844173"
44:27.0,Negative Cloud to Ground,"136,1473717","-3,161258247"
44:50.0,Intra/Inter Cloud,"136,0418897","-3,150333295"
44:50.0,Intra/Inter Cloud,"136,026563","-3,139950798"
44:51.0,Intra/Inter Cloud,"135,9554376","-3,2745827"
44:51.0,Intra/Inter Cloud,"136,186047","-3,309376133"
