Tanggal (UTC),Jenis,Bujur,Lintang
49:38.0,Positive Cloud to Ground,"134,5372925","-2,900519346"
50:00.0,Positive Cloud to Ground,"134,5179708","-2,84276299"
50:21.0,Intra/Inter Cloud,"134,6228388","-2,713392256"
50:21.0,Intra/Inter Cloud,"134,6175889","-2,629601342"
50:50.0,Positive Cloud to Ground,"134,5933223","-2,708481397"
51:04.0,Intra/Inter Cloud,"134,5798966","-2,644930225"
51:23.0,Intra/Inter Cloud,"134,5339013","-2,824735148"
52:30.0,Intra/Inter Cloud,"134,5053959","-2,768411335"
53:01.0,Negative Cloud to Ground,"134,5381664","-2,674928615"
53:17.0,Intra/Inter Cloud,"134,5238103","-2,80585711"
53:20.0,Intra/Inter Cloud,"134,5306203","-2,774219561"
53:42.0,Intra/Inter Cloud,"134,5045781","-2,661550081"
53:54.0,Intra/Inter Cloud,"134,5242673","-2,738052682"
54:13.0,Negative Cloud to Ground,"134,5156421","-2,754408795"
54:13.0,Intra/Inter Cloud,"134,5022753","-2,775859103"
54:13.0,Intra/Inter Cloud,"134,5024562","-2,671587582"
54:13.0,Intra/Inter Cloud,"134,5483804","-2,654981985"
54:47.0,Intra/Inter Cloud,"134,5870634","-2,76445939"
55:09.0,Positive Cloud to Ground,"134,610883","-2,73480706"
55:42.0,Positive Cloud to Ground,"134,6676857","-2,665918659"
56:15.0,Intra/Inter Cloud,"134,4935932","-2,635509186"
57:47.0,Intra/Inter Cloud,"134,4800353","-2,662995466"
57:47.0,Intra/Inter Cloud,"134,5872686","-2,70746491"
57:47.0,Intra/Inter Cloud,"134,5759051","-2,647734202"
57:47.0,Negative Cloud to Ground,"134,6633069","-2,698612517"
58:07.0,Positive Cloud to Ground,"134,8366519","-2,895467826"
58:27.0,Intra/Inter Cloud,"135,3736315","-2,39784309"
59:18.0,Intra/Inter Cloud,"134,5287604","-2,595041523"
00:03.0,Positive Cloud to Ground,"134,8275218","-2,831953642"
00:54.0,Intra/Inter Cloud,"134,7753758","-2,834268844"
00:54.0,Intra/Inter Cloud,"134,5705082","-2,607195905"
00:54.0,Intra/Inter Cloud,"134,5094868","-2,582345004"
00:54.0,Negative Cloud to Ground,"134,5236849","-2,643614507"
00:54.0,Intra/Inter Cloud,"134,6448257","-2,762517356"
01:07.0,Intra/Inter Cloud,"134,8280007","-2,686305391"
01:07.0,Intra/Inter Cloud,"134,644742","-2,712917925"
01:40.0,Negative Cloud to Ground,"134,6220333","-2,564264197"
01:40.0,Negative Cloud to Ground,"134,5870058","-2,541020762"
02:01.0,Intra/Inter Cloud,"134,6622484","-2,566740323"
02:24.0,Negative Cloud to Ground,"134,6756165","-2,669037517"
02:24.0,Negative Cloud to Ground,"134,7193869","-2,698375418"
02:46.0,Negative Cloud to Ground,"134,7734587","-2,804007193"
02:46.0,Intra/Inter Cloud,"134,8286119","-2,860808052"
02:46.0,Intra/Inter Cloud,"134,8951964","-2,905902195"
02:46.0,Negative Cloud to Ground,"134,7175775","-2,77991007"
02:46.0,Negative Cloud to Ground,"134,9572338","-2,976472196"
02:46.0,Negative Cloud to Ground,"134,8982878","-2,972647652"
02:46.0,Intra/Inter Cloud,"134,7995331","-2,849000804"
04:29.0,Intra/Inter Cloud,"134,7920164","-2,744380721"
04:29.0,Negative Cloud to Ground,"134,80611","-2,748725279"
04:30.0,Negative Cloud to Ground,"134,7842874","-2,740589778"
04:30.0,Intra/Inter Cloud,"134,8383378","-2,78613409"
04:30.0,Intra/Inter Cloud,"134,8907411","-2,805073599"
05:22.0,Intra/Inter Cloud,"134,8203103","-2,866606983"
05:22.0,Positive Cloud to Ground,"134,9535012","-3,05928216"
05:22.0,Negative Cloud to Ground,"135,0689201","-3,090774239"
05:52.0,Intra/Inter Cloud,"134,8799809","-2,860471913"
06:43.0,Intra/Inter Cloud,"135,0146603","-2,87119736"
07:58.0,Intra/Inter Cloud,"134,9460999","-2,869790789"
07:58.0,Intra/Inter Cloud,"134,8248212","-2,782370941"
08:31.0,Intra/Inter Cloud,"135,0107406","-2,871845833"
08:31.0,Intra/Inter Cloud,"134,7921997","-2,727573495"
08:31.0,Intra/Inter Cloud,"134,799804","-2,729784195"
08:31.0,Negative Cloud to Ground,"134,8916973","-2,795530806"
08:31.0,Negative Cloud to Ground,"134,8245812","-2,748643475"
09:15.0,Negative Cloud to Ground,"134,7927906","-2,672590671"
09:16.0,Intra/Inter Cloud,"134,8606438","-2,814972716"
09:16.0,Intra/Inter Cloud,"134,9915183","-2,999916457"
09:16.0,Intra/Inter Cloud,"134,813654","-2,779279445"
09:54.0,Negative Cloud to Ground,"134,8094137","-2,774908434"
11:04.0,Positive Cloud to Ground,"134,9264896","-2,931525913"
11:22.0,Intra/Inter Cloud,"134,8310184","-2,728892468"
11:32.0,Positive Cloud to Ground,"134,8470786","-2,855933523"
11:32.0,Negative Cloud to Ground,"134,7784545","-2,78928874"
11:32.0,Negative Cloud to Ground,"134,9113958","-2,901531901"
12:03.0,Intra/Inter Cloud,"134,796552","-2,849869223"
12:24.0,Intra/Inter Cloud,"134,8348714","-2,760630744"
12:24.0,Negative Cloud to Ground,"134,7550995","-2,75990809"
12:24.0,Intra/Inter Cloud,"134,9649467","-2,80121017"
13:55.0,Intra/Inter Cloud,"134,961459","-3,035656745"
14:39.0,Intra/Inter Cloud,"134,8751125","-2,723296903"
16:35.0,Intra/Inter Cloud,"134,8359372","-2,786136158"
16:50.0,Intra/Inter Cloud,"134,6663664","-2,470193308"
18:45.0,Intra/Inter Cloud,"134,8646566","-2,775260712"
18:55.0,Positive Cloud to Ground,"134,8100482","-2,80017354"
20:05.0,Intra/Inter Cloud,"134,7393747","-2,765166497"
20:05.0,Negative Cloud to Ground,"134,9346618","-2,856040831"
20:16.0,Positive Cloud to Ground,"134,9254948","-2,892333303"
22:02.0,Positive Cloud to Ground,"134,6709049","-2,424458727"
23:11.0,Positive Cloud to Ground,"134,7809183","-2,725884057"
23:11.0,Intra/Inter Cloud,"134,8292816","-2,763247103"
23:11.0,Positive Cloud to Ground,"134,9327149","-2,519879867"
24:28.0,Intra/Inter Cloud,"134,8264873","-2,798318372"
24:50.0,Positive Cloud to Ground,"134,7024619","-2,533939989"
24:50.0,Intra/Inter Cloud,"134,8755657","-2,85859383"
25:51.0,Intra/Inter Cloud,"134,7578625","-2,76108487"
25:55.0,Intra/Inter Cloud,"134,7178716","-2,450222816"
30:17.0,Intra/Inter Cloud,"134,6833231","-2,438153774"
30:17.0,Negative Cloud to Ground,"134,8702056","-2,537372546"
30:17.0,Negative Cloud to Ground,"134,906071","-2,567378498"
30:17.0,Negative Cloud to Ground,"134,8783153","-2,528932646"
30:17.0,Intra/Inter Cloud,"134,8535627","-2,508757067"
30:17.0,Negative Cloud to Ground,"134,8656664","-2,541924162"
30:17.0,Negative Cloud to Ground,"134,8588575","-2,516256604"
30:17.0,Negative Cloud to Ground,"134,7942218","-2,457350052"
30:17.0,Negative Cloud to Ground,"134,8221107","-2,494320505"
30:17.0,Intra/Inter Cloud,"134,9206969","-2,766227955"
30:17.0,Negative Cloud to Ground,"134,8347302","-2,44344723"
30:43.0,Intra/Inter Cloud,"134,7534823","-2,780772454"
31:05.0,Intra/Inter Cloud,"134,8808005","-2,669918685"
32:37.0,Intra/Inter Cloud,"134,8274572","-2,635930823"
32:37.0,Intra/Inter Cloud,"134,8554327","-2,621272111"
32:37.0,Intra/Inter Cloud,"134,8365872","-2,83039815"
33:48.0,Negative Cloud to Ground,"134,8501942","-2,432862115"
33:48.0,Intra/Inter Cloud,"134,9881188","-2,677464936"
34:44.0,Negative Cloud to Ground,"136,3104305","-3,464987425"
34:45.0,Positive Cloud to Ground,"136,3897274","-3,666834337"
34:54.0,Intra/Inter Cloud,"136,4714075","-3,746883394"
35:22.0,Intra/Inter Cloud,"136,1403128","-3,52011174"
35:30.0,Intra/Inter Cloud,"134,6015873","-2,578373988"
35:31.0,Intra/Inter Cloud,"136,0565158","-3,487886656"
35:34.0,Intra/Inter Cloud,"136,23752","-3,545085946"
35:37.0,Intra/Inter Cloud,"136,3147169","-3,690557271"
35:37.0,Intra/Inter Cloud,"136,2587105","-3,573496335"
35:38.0,Intra/Inter Cloud,"136,2907065","-3,690836998"
35:43.0,Negative Cloud to Ground,"136,3821994","-3,586329466"
35:45.0,Intra/Inter Cloud,"136,2693646","-3,637148004"
35:51.0,Intra/Inter Cloud,"135,0250961","-2,718740344"
35:51.0,Intra/Inter Cloud,"134,8809417","-2,467652717"
35:51.0,Negative Cloud to Ground,"134,7433743","-2,441445858"
35:52.0,Negative Cloud to Ground,"135,0066476","-2,715525583"
36:11.0,Intra/Inter Cloud,"136,2905747","-3,646703382"
36:27.0,Negative Cloud to Ground,"136,2661336","-3,585419168"
36:27.0,Intra/Inter Cloud,"136,3863653","-3,691630522"
36:27.0,Intra/Inter Cloud,"136,1840948","-3,637511122"
36:41.0,Intra/Inter Cloud,"136,3979724","-3,937140243"
36:51.0,Positive Cloud to Ground,"136,2995862","-3,611819661"
36:58.0,Intra/Inter Cloud,"136,3097891","-3,61837136"
36:59.0,Intra/Inter Cloud,"136,3583137","-3,54712765"
37:05.0,Intra/Inter Cloud,"136,317397","-3,540353022"
37:10.0,Intra/Inter Cloud,"134,6904899","-2,563066872"
37:14.0,Intra/Inter Cloud,"136,2443587","-3,708273176"
37:22.0,Intra/Inter Cloud,"136,472455","-3,603672734"
37:22.0,Negative Cloud to Ground,"136,3088325","-3,600095877"
37:27.0,Intra/Inter Cloud,"136,3457965","-3,620888747"
37:27.0,Intra/Inter Cloud,"136,3087246","-3,765664796"
37:47.0,Intra/Inter Cloud,"136,3810665","-3,595995834"
37:48.0,Intra/Inter Cloud,"136,3122183","-3,592244358"
37:48.0,Negative Cloud to Ground,"136,4429374","-3,648453568"
38:05.0,Intra/Inter Cloud,"136,2643492","-3,892373444"
38:08.0,Positive Cloud to Ground,"134,9014418","-2,564873572"
38:08.0,Positive Cloud to Ground,"134,8908889","-2,531586747"
38:09.0,Intra/Inter Cloud,"134,8740186","-2,454218256"
38:13.0,Intra/Inter Cloud,"136,4239704","-3,652485378"
38:13.0,Intra/Inter Cloud,"136,4200739","-3,65905289"
38:30.0,Intra/Inter Cloud,"136,2792279","-3,695477469"
38:41.0,Intra/Inter Cloud,"136,231169","-3,810469264"
38:45.0,Intra/Inter Cloud,"136,1133782","-3,548262155"
38:51.0,Intra/Inter Cloud,"134,7820117","-2,835608655"
38:53.0,Intra/Inter Cloud,"136,1305903","-3,582277448"
38:56.0,Intra/Inter Cloud,"135,0926577","-2,585399849"
38:59.0,Positive Cloud to Ground,"134,9510338","-2,424398361"
39:00.0,Negative Cloud to Ground,"136,3973165","-3,655667041"
39:00.0,Intra/Inter Cloud,"136,3006517","-3,585807346"
39:06.0,Intra/Inter Cloud,"136,2821817","-3,688177315"
39:07.0,Intra/Inter Cloud,"136,208919","-3,670390901"
39:09.0,Intra/Inter Cloud,"136,3822765","-3,606236328"
39:09.0,Intra/Inter Cloud,"136,179868","-3,578523947"
39:15.0,Intra/Inter Cloud,"136,2282968","-3,598373215"
39:15.0,Intra/Inter Cloud,"136,4192937","-3,676778307"
39:15.0,Intra/Inter Cloud,"136,303292","-3,677755941"
39:36.0,Intra/Inter Cloud,"136,2397353","-3,703819856"
39:52.0,Positive Cloud to Ground,"136,1741533","-3,598431149"
39:52.0,Negative Cloud to Ground,"136,2246691","-3,501517832"
39:52.0,Intra/Inter Cloud,"136,2624694","-3,655269436"
39:53.0,Positive Cloud to Ground,"136,2167423","-3,520271057"
40:02.0,Intra/Inter Cloud,"136,2833331","-3,576902288"
40:03.0,Intra/Inter Cloud,"136,1998808","-3,589491281"
40:04.0,Intra/Inter Cloud,"136,1912312","-3,51448183"
40:13.0,Positive Cloud to Ground,"136,2750296","-3,523195826"
40:19.0,Negative Cloud to Ground,"134,872815","-2,384429331"
40:26.0,Intra/Inter Cloud,"136,34571","-3,625766259"
40:35.0,Intra/Inter Cloud,"136,4447751","-3,658627363"
40:37.0,Intra/Inter Cloud,"136,2397422","-3,543381778"
40:49.0,Intra/Inter Cloud,"136,2179835","-3,512938509"
41:06.0,Intra/Inter Cloud,"136,2895461","-3,552419403"
41:08.0,Intra/Inter Cloud,"136,2242323","-3,56075555"
41:14.0,Intra/Inter Cloud,"134,8339215","-2,571083034"
41:15.0,Intra/Inter Cloud,"134,8025632","-2,673106122"
41:15.0,Intra/Inter Cloud,"134,6040093","-2,530723659"
41:15.0,Negative Cloud to Ground,"134,5976856","-2,463479984"
41:15.0,Negative Cloud to Ground,"134,8435939","-2,608784773"
41:15.0,Intra/Inter Cloud,"134,5848515","-2,503136629"
41:16.0,Positive Cloud to Ground,"136,2038693","-3,551863696"
41:23.0,Intra/Inter Cloud,"136,3196326","-3,874624732"
41:23.0,Intra/Inter Cloud,"136,3369929","-3,827594245"
41:37.0,Intra/Inter Cloud,"136,1168101","-3,531341153"
41:37.0,Intra/Inter Cloud,"136,231148","-3,672899857"
41:38.0,Intra/Inter Cloud,"136,2047391","-3,587016325"
41:41.0,Positive Cloud to Ground,"134,748442","-2,651648907"
41:51.0,Intra/Inter Cloud,"136,2675824","-3,586108209"
41:54.0,Positive Cloud to Ground,"136,4282284","-3,668264373"
41:56.0,Intra/Inter Cloud,"136,1483491","-3,669790647"
41:56.0,Intra/Inter Cloud,"136,2202396","-3,757496183"
42:12.0,Positive Cloud to Ground,"136,3486689","-3,669587208"
42:17.0,Positive Cloud to Ground,"136,2381931","-3,57723448"
42:28.0,Intra/Inter Cloud,"135,0463474","-2,568901681"
42:30.0,Positive Cloud to Ground,"134,9119977","-3,049684072"
42:38.0,Intra/Inter Cloud,"136,2021113","-3,627239094"
43:11.0,Intra/Inter Cloud,"136,1423644","-3,554329619"
43:11.0,Intra/Inter Cloud,"136,2048131","-3,574765278"
43:11.0,Intra/Inter Cloud,"136,2341007","-3,601352832"
43:29.0,Intra/Inter Cloud,"136,464585","-3,69324647"
43:29.0,Intra/Inter Cloud,"136,2021714","-3,642828294"
43:30.0,Intra/Inter Cloud,"136,4199316","-3,685372603"
43:30.0,Negative Cloud to Ground,"136,4370186","-3,723956088"
43:45.0,Intra/Inter Cloud,"136,3433178","-3,680230703"
43:45.0,Positive Cloud to Ground,"136,308055","-3,675010182"
44:04.0,Intra/Inter Cloud,"136,2019138","-3,610523946"
44:05.0,Positive Cloud to Ground,"136,2525779","-3,661627757"
44:05.0,Intra/Inter Cloud,"136,2691325","-3,581955004"
44:15.0,Positive Cloud to Ground,"136,2813631","-3,652178317"
44:16.0,Positive Cloud to Ground,"134,795043","-2,774232374"
44:16.0,Positive Cloud to Ground,"134,8315162","-2,620244427"
44:16.0,Intra/Inter Cloud,"134,7295738","-2,412142224"
44:36.0,Negative Cloud to Ground,"136,2928222","-3,663735351"
44:36.0,Intra/Inter Cloud,"136,2859313","-3,667553856"
44:52.0,Positive Cloud to Ground,"134,9777903","-2,534048822"
44:53.0,Intra/Inter Cloud,"136,2351138","-3,847346969"
45:01.0,Intra/Inter Cloud,"136,3365422","-3,794879282"
45:01.0,Intra/Inter Cloud,"136,4395338","-3,907399544"
45:15.0,Positive Cloud to Ground,"136,3817783","-3,562013062"
45:16.0,Intra/Inter Cloud,"136,1439951","-3,63018294"
45:42.0,Intra/Inter Cloud,"136,3166884","-3,648317472"
46:28.0,Positive Cloud to Ground,"136,4392421","-3,659323636"
46:29.0,Positive Cloud to Ground,"136,2599189","-3,546362855"
46:29.0,Negative Cloud to Ground,"136,448824","-3,608029759"
46:29.0,Intra/Inter Cloud,"136,3394452","-3,743934024"
46:29.0,Intra/Inter Cloud,"136,4002184","-3,613377071"
46:29.0,Intra/Inter Cloud,"136,4370774","-3,613490976"
46:35.0,Intra/Inter Cloud,"134,8608514","-2,590180658"
46:35.0,Intra/Inter Cloud,"134,8111161","-2,751002687"
46:35.0,Intra/Inter Cloud,"134,7779729","-2,783767479"
46:55.0,Intra/Inter Cloud,"134,9500456","-2,371367051"
46:55.0,Intra/Inter Cloud,"134,98303","-2,636958579"
47:12.0,Intra/Inter Cloud,"136,4370217","-3,601180795"
47:12.0,Intra/Inter Cloud,"136,3014728","-3,606399532"
47:12.0,Intra/Inter Cloud,"136,277976","-3,643218393"
47:35.0,Intra/Inter Cloud,"136,4155926","-3,793114137"
47:35.0,Intra/Inter Cloud,"136,3258817","-3,748021317"
47:40.0,Intra/Inter Cloud,"134,9247972","-2,563658688"
47:40.0,Positive Cloud to Ground,"134,83858","-2,497277931"
47:40.0,Intra/Inter Cloud,"134,8702813","-2,577188123"
48:04.0,Intra/Inter Cloud,"134,9900375","-2,54222808"
48:04.0,Intra/Inter Cloud,"134,8885654","-2,466753249"
48:30.0,Intra/Inter Cloud,"136,3739028","-3,595749551"
48:54.0,Intra/Inter Cloud,"135,0549211","-2,540608631"
