Tanggal (UTC),Jenis,Bujur,Lintang
34:08.0,Negative Cloud to Ground,"134,8184894","-3,731757157"
35:03.0,Intra/Inter Cloud,"134,7765345","-3,732238713"
37:53.0,Intra/Inter Cloud,"134,5080598","-3,895674565"
37:54.0,Negative Cloud to Ground,"134,6144236","-3,989846882"
56:45.0,Intra/Inter Cloud,"136,2772384","-3,929844199"
56:45.0,Intra/Inter Cloud,"135,6880942","-3,540258276"
56:47.0,Intra/Inter Cloud,"135,7620356","-3,581022355"
06:12.0,Intra/Inter Cloud,"136,4164045","-3,714682331"
26:36.0,Intra/Inter Cloud,"135,8909665","-3,735215877"
55:44.0,Intra/Inter Cloud,"135,8428469","-3,688916289"
56:14.0,Negative Cloud to Ground,"136,1423804","-3,700988539"
19:57.0,Intra/Inter Cloud,"135,671099","-3,533763607"
42:37.0,Intra/Inter Cloud,"136,312345","-4,055281524"
42:37.0,Intra/Inter Cloud,"135,9141555","-3,708366479"
57:39.0,Positive Cloud to Ground,"136,2988301","-4,013065191"
58:37.0,Intra/Inter Cloud,"136,3610832","-3,997215876"
03:27.0,Negative Cloud to Ground,"136,4396905","-4,196924946"
03:27.0,Negative Cloud to Ground,"136,4628049","-4,214530731"
10:00.0,Intra/Inter Cloud,"136,4212635","-4,06351787"
11:02.0,Intra/Inter Cloud,"136,4619309","-4,115166776"
11:12.0,Intra/Inter Cloud,"136,4195327","-4,123906946"
12:51.0,Negative Cloud to Ground,"136,4451295","-3,998871051"
13:02.0,Intra/Inter Cloud,"136,4552004","-3,877888983"
13:11.0,Intra/Inter Cloud,"136,424249","-3,867159102"
13:15.0,Positive Cloud to Ground,"136,3922788","-3,894263364"
13:22.0,Intra/Inter Cloud,"136,4666019","-3,891647146"
13:37.0,Intra/Inter Cloud,"136,4166909","-3,80377058"
13:42.0,Intra/Inter Cloud,"136,3812737","-3,897962357"
13:46.0,Intra/Inter Cloud,"136,3676297","-4,012273809"
13:50.0,Positive Cloud to Ground,"136,4488788","-3,911378811"
14:00.0,Positive Cloud to Ground,"136,3843609","-3,784854073"
14:17.0,Intra/Inter Cloud,"136,288291","-3,762137941"
14:17.0,Intra/Inter Cloud,"136,3955059","-4,037960164"
14:18.0,Negative Cloud to Ground,"136,4411622","-3,923274127"
14:26.0,Intra/Inter Cloud,"136,2504048","-3,885765669"
14:49.0,Intra/Inter Cloud,"136,2867553","-3,859441806"
14:50.0,Intra/Inter Cloud,"136,390624","-3,870516133"
15:00.0,Intra/Inter Cloud,"136,343994","-3,846231887"
15:07.0,Positive Cloud to Ground,"136,4235372","-3,983181208"
15:35.0,Intra/Inter Cloud,"136,3333365","-3,955883049"
15:41.0,Negative Cloud to Ground,"136,4488441","-3,841567406"
16:03.0,Negative Cloud to Ground,"136,2517061","-3,855171252"
16:12.0,Positive Cloud to Ground,"136,341575","-3,93668511"
16:12.0,Intra/Inter Cloud,"136,3904604","-3,93720939"
16:12.0,Negative Cloud to Ground,"136,3754304","-3,831347308"
16:22.0,Intra/Inter Cloud,"136,3379712","-3,849864254"
16:24.0,Intra/Inter Cloud,"136,3421894","-4,008089812"
16:46.0,Intra/Inter Cloud,"136,3411334","-3,884156784"
17:04.0,Intra/Inter Cloud,"136,3739154","-4,122597181"
17:28.0,Intra/Inter Cloud,"136,3320003","-3,889060577"
17:35.0,Intra/Inter Cloud,"136,3478278","-3,869694374"
17:51.0,Intra/Inter Cloud,"136,4183006","-3,805757858"
17:51.0,Intra/Inter Cloud,"136,3461689","-3,863632231"
18:03.0,Negative Cloud to Ground,"136,4505537","-3,886964628"
18:21.0,Positive Cloud to Ground,"136,4467439","-3,835960434"
18:32.0,Intra/Inter Cloud,"136,4272171","-3,879480254"
18:32.0,Intra/Inter Cloud,"136,4659103","-3,992821378"
18:51.0,Intra/Inter Cloud,"136,3445371","-3,831101072"
19:05.0,Intra/Inter Cloud,"136,3933526","-3,831608735"
19:06.0,Intra/Inter Cloud,"136,4454197","-3,986697167"
19:27.0,Intra/Inter Cloud,"136,3812936","-3,916001244"
19:54.0,Intra/Inter Cloud,"136,357575","-3,812700494"
20:01.0,Intra/Inter Cloud,"136,3888423","-3,872054736"
20:14.0,Intra/Inter Cloud,"136,4226099","-4,002627843"
20:39.0,Negative Cloud to Ground,"136,4306963","-3,881478118"
20:56.0,Intra/Inter Cloud,"136,399007","-3,977810183"
21:33.0,Intra/Inter Cloud,"136,4599335","-3,921890917"
22:49.0,Positive Cloud to Ground,"136,4731278","-4,021493682"
23:00.0,Intra/Inter Cloud,"136,4298959","-3,878092419"
24:10.0,Intra/Inter Cloud,"136,3374046","-3,852728357"
24:15.0,Intra/Inter Cloud,"136,3580777","-3,802469557"
24:16.0,Intra/Inter Cloud,"136,3942137","-3,817457923"
24:21.0,Intra/Inter Cloud,"136,4647245","-3,909284957"
24:45.0,Negative Cloud to Ground,"136,459295","-4,037074601"
24:52.0,Intra/Inter Cloud,"135,9555374","-4,244720462"
24:52.0,Intra/Inter Cloud,"136,0047537","-4,26462273"
24:52.0,Intra/Inter Cloud,"135,9825503","-4,196574246"
24:53.0,Positive Cloud to Ground,"136,4769644","-3,965231726"
25:01.0,Intra/Inter Cloud,"136,4578319","-3,911872657"
25:10.0,Intra/Inter Cloud,"136,3842364","-3,946391643"
25:58.0,Intra/Inter Cloud,"136,3774479","-3,848941792"
26:05.0,Intra/Inter Cloud,"136,4720779","-3,824590584"
26:20.0,Negative Cloud to Ground,"136,3668401","-3,939336318"
26:24.0,Intra/Inter Cloud,"135,9449246","-4,355773637"
26:24.0,Negative Cloud to Ground,"136,00141","-4,318542338"
26:24.0,Intra/Inter Cloud,"135,917838","-4,24313831"
26:59.0,Intra/Inter Cloud,"136,4623269","-3,833464127"
27:06.0,Negative Cloud to Ground,"136,4225714","-3,942549007"
27:21.0,Intra/Inter Cloud,"136,4485155","-3,918716653"
27:27.0,Negative Cloud to Ground,"136,4570931","-3,904707978"
28:37.0,Intra/Inter Cloud,"135,8834431","-4,173981652"
28:37.0,Intra/Inter Cloud,"135,9500449","-4,27005525"
28:48.0,Intra/Inter Cloud,"135,8719705","-4,216435229"
28:48.0,Positive Cloud to Ground,"136,0287598","-4,336513872"
28:48.0,Intra/Inter Cloud,"135,95206","-4,227355507"
28:53.0,Intra/Inter Cloud,"136,4675573","-3,839285284"
29:07.0,Negative Cloud to Ground,"136,4791092","-3,830642654"
29:25.0,Intra/Inter Cloud,"136,4553257","-3,836069705"
29:47.0,Intra/Inter Cloud,"135,9575085","-4,211806692"
29:47.0,Positive Cloud to Ground,"135,9727922","-4,288683421"
30:11.0,Intra/Inter Cloud,"136,0032527","-4,237866485"
30:12.0,Intra/Inter Cloud,"135,8275548","-4,252956477"
30:19.0,Intra/Inter Cloud,"136,4273822","-4,110228657"
30:38.0,Intra/Inter Cloud,"136,0724364","-4,164220533"
30:38.0,Intra/Inter Cloud,"136,1260303","-4,233730688"
30:51.0,Intra/Inter Cloud,"136,0320216","-4,342621056"
30:51.0,Positive Cloud to Ground,"136,1162808","-4,315371051"
30:51.0,Intra/Inter Cloud,"136,1113316","-4,134752292"
31:09.0,Positive Cloud to Ground,"136,0005873","-4,313247075"
32:12.0,Intra/Inter Cloud,"136,4496638","-4,002208006"
32:50.0,Intra/Inter Cloud,"136,0436853","-4,104421585"
33:10.0,Intra/Inter Cloud,"135,925991","-4,262143611"
33:11.0,Intra/Inter Cloud,"136,0392701","-4,063783248"
33:11.0,Intra/Inter Cloud,"135,8966796","-4,186868338"
33:16.0,Intra/Inter Cloud,"135,9151994","-4,156260056"
34:15.0,Positive Cloud to Ground,"135,9781711","-4,201834165"
34:56.0,Negative Cloud to Ground,"136,135409","-4,286755014"
34:56.0,Positive Cloud to Ground,"136,0451643","-4,217960374"
34:56.0,Intra/Inter Cloud,"136,0461729","-4,222642403"
35:04.0,Intra/Inter Cloud,"135,5070279","-4,346664792"
35:28.0,Intra/Inter Cloud,"136,2247225","-4,304259901"
35:28.0,Negative Cloud to Ground,"136,0878823","-4,346228393"
35:28.0,Intra/Inter Cloud,"136,0681486","-4,285531221"
35:28.0,Intra/Inter Cloud,"135,8391744","-4,016183145"
35:28.0,Intra/Inter Cloud,"136,0928997","-4,153082171"
36:51.0,Intra/Inter Cloud,"135,9282296","-4,240772645"
37:31.0,Negative Cloud to Ground,"135,9166012","-4,250676176"
45:12.0,Intra/Inter Cloud,"135,8131574","-4,25435174"
45:26.0,Positive Cloud to Ground,"136,1047089","-4,287376119"
47:04.0,Positive Cloud to Ground,"136,1702596","-4,272524451"
48:40.0,Positive Cloud to Ground,"136,0586738","-4,32786579"
48:40.0,Intra/Inter Cloud,"135,804051","-4,218726645"
48:41.0,Intra/Inter Cloud,"136,0852238","-4,189399555"
48:41.0,Intra/Inter Cloud,"136,1980898","-4,277209483"
48:41.0,Positive Cloud to Ground,"135,9426326","-4,226352043"
51:32.0,Negative Cloud to Ground,"136,1013783","-4,351303606"
51:32.0,Intra/Inter Cloud,"136,0836835","-4,344495145"
51:32.0,Intra/Inter Cloud,"136,0463229","-4,272062916"
54:13.0,Intra/Inter Cloud,"135,8138032","-4,242838256"
57:03.0,Intra/Inter Cloud,"135,9650903","-4,204517611"
57:03.0,Positive Cloud to Ground,"135,8469771","-4,298623727"
23:07.0,Intra/Inter Cloud,"135,8756797","-4,132229966"
50:28.0,Intra/Inter Cloud,"135,8812874","-3,703571091"
23:12.0,Negative Cloud to Ground,"134,8212618","-2,977781165"
38:19.0,Intra/Inter Cloud,"136,3703094","-3,663685072"
40:30.0,Intra/Inter Cloud,"134,4824759","-2,532394128"
45:44.0,Intra/Inter Cloud,"136,250083","-4,148364922"
46:13.0,Intra/Inter Cloud,"134,490565","-2,893698547"
46:24.0,Intra/Inter Cloud,"134,4911919","-2,673540647"
47:10.0,Intra/Inter Cloud,"134,628284","-2,865275788"
47:10.0,Intra/Inter Cloud,"134,5405008","-2,553976893"
47:27.0,Positive Cloud to Ground,"134,5172643","-2,729022928"
47:35.0,Intra/Inter Cloud,"134,5039113","-2,684506792"
47:35.0,Negative Cloud to Ground,"134,5406397","-2,72273897"
47:35.0,Intra/Inter Cloud,"134,6424539","-2,798116625"
47:56.0,Negative Cloud to Ground,"134,6431036","-2,592493784"
47:57.0,Intra/Inter Cloud,"134,641385","-2,714738341"
48:37.0,Positive Cloud to Ground,"134,6215458","-2,736146339"
48:37.0,Positive Cloud to Ground,"134,5682562","-2,684245301"
48:37.0,Negative Cloud to Ground,"134,5494449","-2,642161881"
48:38.0,Negative Cloud to Ground,"134,5338798","-2,838235026"
49:00.0,Positive Cloud to Ground,"134,5368669","-2,911891531"
49:08.0,Intra/Inter Cloud,"134,5589255","-2,586370771"
49:21.0,Intra/Inter Cloud,"134,5916682","-2,76026231"
49:29.0,Positive Cloud to Ground,"134,547685","-2,733296788"
49:30.0,Intra/Inter Cloud,"134,6185839","-2,851142468"
49:31.0,Intra/Inter Cloud,"134,6379247","-2,73332605"
